DATE,TXMFG
1990-01-01,938.9
1990-02-01,939.4
1990-03-01,940.7
1990-04-01,942.1
1990-05-01,940.6
1990-06-01,942.0
1990-07-01,947.5
1990-08-01,950.2
1990-09-01,950.1
1990-10-01,951.0
1990-11-01,949.3
1990-12-01,944.2
1991-01-01,947.5
1991-02-01,946.9
1991-03-01,945.7
1991-04-01,936.9
1991-05-01,936.0
1991-06-01,936.1
1991-07-01,931.9
1991-08-01,930.4
1991-09-01,929.4
1991-10-01,922.0
1991-11-01,922.9
1991-12-01,920.7
1992-01-01,922.7
1992-02-01,921.3
1992-03-01,919.0
1992-04-01,923.2
1992-05-01,926.3
1992-06-01,926.7
1992-07-01,928.2
1992-08-01,928.0
1992-09-01,926.8
1992-10-01,930.9
1992-11-01,932.4
1992-12-01,933.9
1993-01-01,932.5
1993-02-01,937.2
1993-03-01,939.8
1993-04-01,934.9
1993-05-01,937.3
1993-06-01,939.3
1993-07-01,940.2
1993-08-01,941.7
1993-09-01,944.4
1993-10-01,945.7
1993-11-01,946.8
1993-12-01,949.0
1994-01-01,949.5
1994-02-01,949.0
1994-03-01,952.1
1994-04-01,957.4
1994-05-01,960.8
1994-06-01,962.8
1994-07-01,967.6
1994-08-01,970.9
1994-09-01,973.9
1994-10-01,975.5
1994-11-01,979.0
1994-12-01,981.7
1995-01-01,986.2
1995-02-01,988.9
1995-03-01,990.1
1995-04-01,991.8
1995-05-01,991.5
1995-06-01,993.2
1995-07-01,990.9
1995-08-01,994.2
1995-09-01,997.0
1995-10-01,999.0
1995-11-01,1000.8
1995-12-01,1005.7
1996-01-01,1005.9
1996-02-01,1008.0
1996-03-01,1009.4
1996-04-01,1009.9
1996-05-01,1012.1
1996-06-01,1012.3
1996-07-01,1017.9
1996-08-01,1019.9
1996-09-01,1020.7
1996-10-01,1022.2
1996-11-01,1025.3
1996-12-01,1026.0
1997-01-01,1027.8
1997-02-01,1031.7
1997-03-01,1036.0
1997-04-01,1037.7
1997-05-01,1042.0
1997-06-01,1043.8
1997-07-01,1041.6
1997-08-01,1045.9
1997-09-01,1051.0
1997-10-01,1055.6
1997-11-01,1059.3
1997-12-01,1063.1
1998-01-01,1068.1
1998-02-01,1070.3
1998-03-01,1073.3
1998-04-01,1075.4
1998-05-01,1078.1
1998-06-01,1079.4
1998-07-01,1081.8
1998-08-01,1083.8
1998-09-01,1084.1
1998-10-01,1082.3
1998-11-01,1080.8
1998-12-01,1080.4
1999-01-01,1074.1
1999-02-01,1073.5
1999-03-01,1072.0
1999-04-01,1064.3
1999-05-01,1062.6
1999-06-01,1061.2
1999-07-01,1063.2
1999-08-01,1063.2
1999-09-01,1063.4
1999-10-01,1064.3
1999-11-01,1065.5
1999-12-01,1067.1
2000-01-01,1069.9
2000-02-01,1072.5
2000-03-01,1073.9
2000-04-01,1071.1
2000-05-01,1072.3
2000-06-01,1074.0
2000-07-01,1072.8
2000-08-01,1071.3
2000-09-01,1072.3
2000-10-01,1071.8
2000-11-01,1072.1
2000-12-01,1070.5
2001-01-01,1066.9
2001-02-01,1063.8
2001-03-01,1058.2
2001-04-01,1050.7
2001-05-01,1043.7
2001-06-01,1036.0
2001-07-01,1026.9
