Arkansas December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,36.5,-2.8
201002,36.5,-6.6
201003,50.5,-0.8
201004,63.4,2.9
201005,71.3,2.6
201006,81.6,5.1
201007,82.0,1.7
201008,83.9,4.6
201009,74.8,2.0
201010,62.7,0.9
201011,52.0,2.1
201012,38.9,-2.6
201101,37.6,-1.7
201102,43.9,0.8
201103,52.5,1.2
201104,63.5,3.0
201105,67.3,-1.4
201106,81.7,5.2
201107,84.7,4.4
201108,83.1,3.8
201109,70.2,-2.6
201110,60.6,-1.2
201111,53.4,3.5
201112,43.3,1.8
201201,44.6,5.3
201202,47.2,4.1
201203,62.2,10.9
201204,64.4,3.9
201205,73.2,4.5
201206,78.0,1.5
201207,84.1,3.8
201208,80.2,0.9
201209,73.5,0.7
201210,59.3,-2.5
201211,50.2,0.3
201212,46.4,4.9
201301,42.1,2.8
201302,43.3,0.2
201303,46.6,-4.7
201304,58.5,-2.0
201305,67.2,-1.5
201306,77.1,0.6
201307,78.0,-2.3
201308,78.4,-0.9
201309,75.4,2.6
201310,61.5,-0.3
201311,47.5,-2.4
201312,40.1,-1.4
201401,35.2,-4.1
201402,38.8,-4.3
201403,46.5,-4.8
201404,59.6,-0.9
201405,68.1,-0.6
201406,76.7,0.2
201407,75.4,-4.9
201408,78.7,-0.6
201409,72.6,-0.2
201410,63.7,1.9
201411,44.9,-5.0
201412,43.8,2.3
201501,38.6,-0.7
201502,36.1,-7.0
201503,49.7,-1.6
201504,62.5,2.0
201505,69.3,0.6
201506,78.1,1.6
201507,81.9,1.6
201508,78.1,-1.2
201509,74.8,2.0
201510,63.5,1.7
201511,54.2,4.3
201512,50.0,8.5
201601,39.5,0.2
201602,46.9,3.8
201603,55.5,4.2
201604,62.5,2.0
201605,67.2,-1.5
201606,78.9,2.4
201607,82.0,1.7
201608,80.0,0.7
201609,75.8,3.0
201610,67.0,5.2
201611,55.7,5.8
201612,42.5,1.0
201701,45.2,5.9
201702,52.5,9.4
201703,55.7,4.4
201704,64.2,3.7
201705,67.7,-1.0
201706,75.5,-1.0
201707,80.6,0.3
201708,76.9,-2.4
201709,73.2,0.4
201710,62.9,1.1
201711,53.7,3.8
201712,42.4,0.9
201801,35.7,-3.6
201802,45.9,2.8
201803,53.9,2.6
201804,55.2,-5.3
201805,75.0,6.3
201806,80.1,3.6
201807,81.8,1.5
201808,78.8,-0.5
201809,75.0,2.2
201810,62.6,0.8
201811,45.8,-4.1
201812,44.2,2.7
201901,40.8,1.5
201902,46.0,2.9
201903,48.9,-2.4
201904,60.8,0.3
201905,70.6,1.9
201906,75.6,-0.9
201907,79.0,-1.3
201908,80.3,1.0
201909,79.7,6.9
201910,60.8,-1.0
201911,46.4,-3.5
201912,45.7,4.2
202001,43.9,4.6
202002,44.5,1.4
202003,56.5,5.2
202004,58.8,-1.7
202005,66.8,-1.9
202006,76.4,-0.1
202007,81.3,1.0
202008,77.8,-1.5
202009,71.8,-1.0
202010,59.4,-2.4
202011,54.0,4.1
202012,42.6,1.1
202101,41.4,2.1
202102,34.8,-8.3
202103,55.2,3.9
202104,58.4,-2.1
202105,66.8,-1.9
202106,76.9,0.4
202107,79.3,-1.0
202108,80.7,1.4
202109,74.3,1.5
202110,65.5,3.7
202111,49.4,-0.5
202112,53.4,11.9
202201,38.7,-0.6
202202,42.2,-0.9
202203,52.1,0.8
202204,59.9,-0.6
202205,71.0,2.3
202206,78.1,1.6
202207,84.1,3.8
202208,79.4,0.1
202209,73.8,1.0
202210,61.4,-0.4
202211,49.8,-0.1
202212,43.2,1.7
202301,46.4,7.1
202302,48.7,5.6
202303,53.0,1.7
202304,60.2,-0.3
202305,70.0,1.3
202306,77.3,0.8
202307,81.0,0.7
202308,81.7,2.4
202309,74.8,2.0
202310,64.0,2.2
202311,51.7,1.8
202312,46.0,4.5
202401,36.1,-3.2
202402,51.7,8.6
