Missouri December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,25.5,-3.9
201002,28.4,-5.4
201003,45.0,1.4
201004,60.5,6.0
201005,64.5,0.3
201006,77.3,4.3
201007,79.1,1.4
201008,79.0,3.0
201009,68.8,0.6
201010,58.3,1.3
201011,46.5,2.9
201012,29.6,-3.4
201101,26.7,-2.7
201102,33.2,-0.6
201103,45.1,1.5
201104,56.8,2.3
201105,62.8,-1.4
201106,75.8,2.8
201107,82.7,5.0
201108,77.8,1.8
201109,64.8,-3.4
201110,57.2,0.2
201111,47.4,3.8
201112,37.4,4.4
201201,36.3,6.9
201202,39.9,6.1
201203,58.1,14.5
201204,59.0,4.5
201205,69.5,5.3
201206,74.8,1.8
201207,83.6,5.9
201208,76.2,0.2
201209,67.0,-1.2
201210,54.3,-2.7
201211,45.1,1.5
201212,38.8,5.8
201301,33.8,4.4
201302,34.4,0.6
201303,38.3,-5.3
201304,52.1,-2.4
201305,63.4,-0.8
201306,73.0,0.0
201307,75.0,-2.7
201308,74.6,-1.4
201309,70.7,2.5
201310,55.9,-1.1
201311,41.8,-1.8
201312,30.3,-2.7
201401,25.8,-3.6
201402,26.5,-7.3
201403,39.5,-4.1
201404,55.1,0.6
201405,65.3,1.1
201406,73.7,0.7
201407,72.6,-5.1
201408,76.6,0.6
201409,67.1,-1.1
201410,57.8,0.8
201411,37.8,-5.8
201412,36.7,3.7
201501,31.2,1.8
201502,26.2,-7.6
201503,44.5,0.9
201504,57.7,3.2
201505,64.8,0.6
201506,74.3,1.3
201507,77.4,-0.3
201508,73.4,-2.6
201509,71.6,3.4
201510,57.7,0.7
201511,48.9,5.3
201512,42.4,9.4
201601,30.9,1.5
201602,39.1,5.3
201603,50.4,6.8
201604,57.3,2.8
201605,62.7,-1.5
201606,76.9,3.9
201607,78.1,0.4
201608,76.7,0.7
201609,71.7,3.5
201610,62.1,5.1
201611,51.0,7.4
201612,32.4,-0.6
201701,35.4,6.0
201702,45.1,11.3
201703,48.4,4.8
201704,58.5,4.0
201705,64.1,-0.1
201706,73.5,0.5
201707,78.8,1.1
201708,72.1,-3.9
201709,70.4,2.2
201710,59.0,2.0
201711,46.2,2.6
201712,34.3,1.3
201801,28.0,-1.4
201802,35.6,1.8
201803,44.0,0.4
201804,48.2,-6.3
201805,72.5,8.3
201806,77.4,4.4
201807,78.2,0.5
201808,76.4,0.4
201809,71.3,3.1
201810,56.4,-0.6
201811,37.6,-6.0
201812,36.8,3.8
201901,31.0,1.6
201902,33.0,-0.8
201903,40.9,-2.7
201904,56.7,2.2
201905,64.5,0.3
201906,72.4,-0.6
201907,77.6,-0.1
201908,75.3,-0.7
201909,74.8,6.6
201910,54.3,-2.7
201911,40.2,-3.4
201912,39.0,6.0
202001,34.5,5.1
202002,35.4,1.6
202003,48.8,5.2
202004,53.1,-1.4
202005,62.0,-2.2
202006,75.1,2.1
202007,79.2,1.5
202008,74.2,-1.8
202009,67.3,-0.9
202010,53.6,-3.4
202011,49.6,6.0
202012,36.3,3.3
202101,33.6,4.2
202102,24.4,-9.4
202103,49.9,6.3
202104,54.2,-0.3
202105,62.3,-1.9
202106,74.9,1.9
202107,76.7,-1.0
202108,77.4,1.4
202109,71.5,3.3
202110,60.5,3.5
202111,45.5,1.9
202112,44.7,11.7
202201,28.4,-1.0
202202,32.5,-1.3
202203,46.1,2.5
202204,53.0,-1.5
202205,65.9,1.7
202206,75.3,2.3
202207,79.8,2.1
202208,76.4,0.4
202209,69.5,1.3
202210,56.0,-1.0
202211,44.3,0.7
202212,33.1,0.1
202301,37.2,7.8
202302,39.8,6.0
202303,43.8,0.2
202304,56.1,1.6
202305,66.1,1.9
202306,73.9,0.9
202307,77.9,0.2
202308,76.5,0.5
202309,70.4,2.2
202310,58.7,1.7
202311,46.1,2.5
202312,41.9,8.9
202401,27.7,-1.7
202402,45.9,12.1
