Mississippi December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,40.6,-4.5
201002,40.7,-7.6
201003,52.3,-3.3
201004,65.1,1.5
201005,74.4,3.1
201006,82.2,3.9
201007,82.7,1.9
201008,83.8,3.6
201009,77.0,1.9
201010,65.0,0.6
201011,55.7,1.8
201012,42.3,-4.5
201101,42.2,-2.9
201102,49.8,1.5
201103,57.8,2.2
201104,67.0,3.4
201105,70.6,-0.7
201106,82.2,3.9
201107,82.9,2.1
201108,83.0,2.8
201109,72.5,-2.6
201110,61.3,-3.1
201111,56.1,2.2
201112,48.0,1.2
201201,50.8,5.7
201202,52.2,3.9
201203,65.4,9.8
201204,65.8,2.2
201205,74.3,3.0
201206,78.2,-0.1
201207,81.9,1.1
201208,79.5,-0.7
201209,74.4,-0.7
201210,62.1,-2.3
201211,52.0,-1.9
201212,51.6,4.8
201301,49.1,4.0
201302,49.0,0.7
201303,50.4,-5.2
201304,62.1,-1.5
201305,68.9,-2.4
201306,78.9,0.6
201307,78.8,-2.0
201308,79.6,-0.6
201309,77.0,1.9
201310,65.4,1.0
201311,51.1,-2.8
201312,46.7,-0.1
201401,38.5,-6.6
201402,46.3,-2.0
201403,51.6,-4.0
201404,62.7,-0.9
201405,70.8,-0.5
201406,78.6,0.3
201407,77.5,-3.3
201408,79.8,-0.4
201409,76.5,1.4
201410,66.5,2.1
201411,48.8,-5.1
201412,50.2,3.4
201501,43.8,-1.3
201502,41.9,-6.4
201503,57.7,2.1
201504,67.0,3.4
201505,72.3,1.0
201506,79.2,0.9
201507,82.8,2.0
201508,80.1,-0.1
201509,76.3,1.2
201510,66.5,2.1
201511,59.2,5.3
201512,56.7,9.9
201601,43.7,-1.4
201602,50.9,2.6
201603,60.2,4.6
201604,65.2,1.6
201605,70.5,-0.8
201606,80.2,1.9
201607,82.4,1.6
201608,82.0,1.8
201609,79.0,3.9
201610,69.2,4.8
201611,58.2,4.3
201612,49.4,2.6
201701,52.9,7.8
201702,57.1,8.8
201703,60.1,4.5
201704,67.3,3.7
201705,70.1,-1.2
201706,76.7,-1.6
201707,81.2,0.4
201708,79.3,-0.9
201709,74.5,-0.6
201710,66.2,1.8
201711,56.8,2.9
201712,47.1,0.3
201801,40.1,-5.0
201802,56.9,8.6
201803,57.1,1.5
201804,58.9,-4.7
201805,75.8,4.5
201806,80.6,2.3
201807,81.8,1.0
201808,80.3,0.1
201809,78.9,3.8
201810,67.4,3.0
201811,50.5,-3.4
201812,49.0,2.2
201901,46.3,1.2
201902,55.0,6.7
201903,54.7,-0.9
201904,63.1,-0.5
201905,74.3,3.0
201906,78.3,0.0
201907,80.8,0.0
201908,81.4,1.2
201909,81.2,6.1
201910,66.6,2.2
201911,50.3,-3.6
201912,50.7,3.9
202001,50.1,5.0
202002,51.1,2.8
202003,64.1,8.5
202004,62.9,-0.7
202005,70.3,-1.0
202006,78.1,-0.2
202007,82.1,1.3
202008,80.2,0.0
202009,75.3,0.2
202010,65.8,1.4
202011,58.4,4.5
202012,47.0,0.2
202101,46.6,1.5
202102,44.2,-4.1
202103,60.0,4.4
202104,61.8,-1.8
202105,69.9,-1.4
202106,78.1,-0.2
202107,80.4,-0.4
202108,80.8,0.6
202109,74.8,-0.3
202110,68.3,3.9
202111,52.7,-1.2
202112,58.6,11.8
202201,44.2,-0.9
202202,48.7,0.4
202203,57.1,1.5
202204,64.0,0.4
202205,75.0,3.7
202206,81.2,2.9
202207,82.9,2.1
202208,80.2,0.0
202209,74.8,-0.3
202210,62.8,-1.6
202211,55.0,1.1
202212,50.1,3.3
202301,52.4,7.3
202302,55.7,7.4
202303,59.7,4.1
202304,63.8,0.2
202305,72.3,1.0
202306,79.0,0.7
202307,82.6,1.8
202308,84.4,4.2
202309,77.6,2.5
202310,66.5,2.1
202311,55.3,1.4
202312,49.8,3.0
202401,42.8,-2.3
202402,54.3,6.0
