Nebraska December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,22.1,0.0
201002,23.0,-3.7
201003,39.7,3.9
201004,51.7,4.0
201005,56.3,-2.1
201006,69.6,1.3
201007,74.5,0.0
201008,74.8,2.5
201009,63.6,0.8
201010,54.0,3.2
201011,36.7,0.8
201012,26.1,0.8
201101,20.4,-1.7
201102,24.5,-2.2
201103,37.1,1.3
201104,47.5,-0.2
201105,56.0,-2.4
201106,68.2,-0.1
201107,77.7,3.2
201108,73.9,1.6
201109,60.6,-2.2
201110,52.7,1.9
201111,38.2,2.3
201112,28.6,3.3
201201,30.4,8.3
201202,29.3,2.6
201203,50.8,15.0
201204,53.5,5.8
201205,62.3,3.9
201206,73.4,5.1
201207,80.0,5.5
201208,73.0,0.7
201209,64.1,1.3
201210,48.2,-2.6
201211,40.0,4.1
201212,27.6,2.3
201301,25.5,3.4
201302,28.8,2.1
201303,34.8,-1.0
201304,42.5,-5.2
201305,58.5,0.1
201306,68.8,0.5
201307,73.2,-1.3
201308,73.8,1.5
201309,68.0,5.2
201310,48.8,-2.0
201311,36.0,0.1
201312,22.8,-2.5
201401,25.4,3.3
201402,20.8,-5.9
201403,35.4,-0.4
201404,48.3,0.6
201405,58.5,0.1
201406,68.1,-0.2
201407,71.2,-3.3
201408,72.2,-0.1
201409,62.9,0.1
201410,53.2,2.4
201411,32.2,-3.7
201412,28.0,2.7
201501,27.2,5.1
201502,26.1,-0.6
201503,42.9,7.1
201504,50.5,2.8
201505,56.2,-2.2
201506,69.8,1.5
201507,73.4,-1.1
201508,70.9,-1.4
201509,68.6,5.8
201510,54.3,3.5
201511,40.1,4.2
201512,29.7,4.4
201601,26.0,3.9
201602,35.0,8.3
201603,43.9,8.1
201604,49.9,2.2
201605,57.2,-1.2
201606,73.3,5.0
201607,74.2,-0.3
201608,71.8,-0.5
201609,65.0,2.2
201610,55.4,4.6
201611,44.3,8.4
201612,23.8,-1.5
201701,24.8,2.7
201702,35.4,8.7
201703,42.2,6.4
201704,49.7,2.0
201705,57.0,-1.4
201706,70.7,2.4
201707,76.8,2.3
201708,69.0,-3.3
201709,65.0,2.2
201710,51.0,0.2
201711,39.9,4.0
201712,26.6,1.3
201801,23.0,0.9
201802,21.7,-5.0
201803,38.5,2.7
201804,41.2,-6.5
201805,63.8,5.4
201806,72.2,3.9
201807,73.4,-1.1
201808,70.8,-1.5
201809,65.7,2.9
201810,47.2,-3.6
201811,33.5,-2.4
201812,28.1,2.8
201901,26.4,4.3
201902,17.2,-9.5
201903,31.7,-4.1
201904,49.2,1.5
201905,53.5,-4.9
201906,68.0,-0.3
201907,74.5,0.0
201908,71.5,-0.8
201909,68.3,5.5
201910,44.2,-6.6
201911,35.2,-0.7
201912,30.2,4.9
202001,27.2,5.1
202002,29.6,2.9
202003,41.1,5.3
202004,46.1,-1.6
202005,56.8,-1.6
202006,73.5,5.2
202007,75.3,0.8
202008,74.0,1.7
202009,62.7,-0.1
202010,46.4,-4.4
202011,42.6,6.7
202012,31.3,6.0
202101,29.3,7.2
202102,16.5,-10.2
202103,42.6,6.8
202104,47.0,-0.7
202105,57.9,-0.5
202106,72.8,4.5
202107,75.0,0.5
202108,74.3,2.0
202109,67.6,4.8
202110,53.2,2.4
202111,42.6,6.7
202112,33.8,8.5
202201,25.6,3.5
202202,26.9,0.2
202203,38.1,2.3
202204,46.6,-1.1
202205,58.7,0.3
202206,71.4,3.1
202207,76.5,2.0
202208,75.0,2.7
202209,67.5,4.7
202210,52.2,1.4
202211,34.6,-1.3
202212,22.7,-2.6
202301,24.8,2.7
202302,26.9,0.2
202303,33.5,-2.3
202304,48.1,0.4
202305,62.1,3.7
202306,69.8,1.5
202307,72.9,-1.6
202308,73.8,1.5
202309,67.3,4.5
202310,51.1,0.3
202311,40.7,4.8
202312,34.1,8.8
202401,20.4,-1.7
202402,38.4,11.7
