Wisconsin December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,15.1,2.7
201002,20.0,3.6
201003,37.4,9.1
201004,50.0,7.4
201005,57.6,3.0
201006,65.1,1.0
201007,71.4,2.5
201008,70.8,4.4
201009,56.9,-1.1
201010,49.5,2.7
201011,34.9,3.3
201012,16.9,-1.2
201101,12.2,-0.2
201102,18.5,2.1
201103,28.0,-0.3
201104,41.7,-0.9
201105,54.0,-0.6
201106,64.3,0.2
201107,73.2,4.3
201108,68.2,1.8
201109,57.3,-0.7
201110,49.8,3.0
201111,36.7,5.1
201112,25.7,7.6
201201,20.8,8.4
201202,26.6,10.2
201203,45.6,17.3
201204,45.1,2.5
201205,59.6,5.0
201206,67.1,3.0
201207,74.8,5.9
201208,67.1,0.7
201209,57.7,-0.3
201210,44.8,-2.0
201211,34.4,2.8
201212,25.1,7.0
201301,16.8,4.4
201302,17.0,0.6
201303,23.9,-4.4
201304,37.8,-4.8
201305,55.2,0.6
201306,63.9,-0.2
201307,68.9,0.0
201308,67.6,1.2
201309,60.8,2.8
201310,46.7,-0.1
201311,30.8,-0.8
201312,11.9,-6.2
201401,6.0,-6.4
201402,7.3,-9.1
201403,21.4,-6.9
201404,39.7,-2.9
201405,55.3,0.7
201406,66.4,2.3
201407,65.9,-3.0
201408,67.1,0.7
201409,58.2,0.2
201410,46.0,-0.8
201411,25.3,-6.3
201412,24.1,6.0
201501,15.3,2.9
201502,7.6,-8.8
201503,30.7,2.4
201504,45.0,2.4
201505,56.6,2.0
201506,63.8,-0.3
201507,68.4,-0.5
201508,66.1,-0.3
201509,64.7,6.7
201510,48.4,1.6
201511,39.4,7.8
201512,31.8,13.7
201601,16.2,3.8
201602,22.6,6.2
201603,36.8,8.5
201604,42.9,0.3
201605,56.1,1.5
201606,65.8,1.7
201607,69.9,1.0
201608,69.5,3.1
201609,62.6,4.6
201610,50.4,3.6
201611,41.6,10.0
201612,19.9,1.8
201701,19.4,7.0
201702,27.8,11.4
201703,30.2,1.9
201704,46.4,3.8
201705,53.3,-1.3
201706,65.6,1.5
201707,68.8,-0.1
201708,64.2,-2.2
201709,62.2,4.2
201710,50.0,3.2
201711,31.4,-0.2
201712,17.3,-0.8
201801,15.2,2.8
201802,16.1,-0.3
201803,29.7,1.4
201804,33.5,-9.1
201805,62.0,7.4
201806,66.5,2.4
201807,69.8,0.9
201808,68.5,2.1
201809,61.2,3.2
201810,43.6,-3.2
201811,27.3,-4.3
201812,25.1,7.0
201901,13.1,0.7
201902,13.5,-2.9
201903,25.7,-2.6
201904,42.4,-0.2
201905,51.8,-2.8
201906,63.6,-0.5
201907,71.3,2.4
201908,65.6,-0.8
201909,62.0,4.0
201910,45.0,-1.8
201911,28.2,-3.4
201912,23.5,5.4
202001,21.5,9.1
202002,19.2,2.8
202003,34.3,6.0
202004,40.7,-1.9
202005,54.1,-0.5
202006,66.5,2.4
202007,71.9,3.0
202008,68.3,1.9
202009,57.3,-0.7
202010,41.3,-5.5
202011,38.6,7.0
202012,24.2,6.1
202101,20.3,7.9
202102,10.7,-5.7
202103,36.9,8.6
202104,45.0,2.4
202105,54.9,0.3
202106,69.4,5.3
202107,69.4,0.5
202108,69.2,2.8
202109,61.2,3.2
202110,53.5,6.7
202111,33.9,2.3
202112,24.8,6.7
202201,9.2,-3.2
202202,14.9,-1.5
202203,29.5,1.2
202204,39.0,-3.6
202205,57.2,2.6
202206,65.5,1.4
202207,69.4,0.5
202208,67.5,1.1
202209,60.4,2.4
202210,47.2,0.4
202211,35.3,3.7
202212,19.2,1.1
202301,23.0,10.6
202302,21.7,5.3
202303,28.7,0.4
202304,43.4,0.8
202305,56.8,2.2
202306,66.6,2.5
202307,68.5,-0.4
202308,67.6,1.2
202309,63.2,5.2
202310,49.4,2.6
202311,34.5,2.9
202312,32.1,14.0
202401,21.0,8.6
202402,31.8,15.4
