"...1","Year.x","Month.x","State","Data Status","Thousand Dollars","Megawatthours","Count","Cents/kWh","DATE","oil_emp(thousands)","U.S. Field Production of Crude Oil Thousand Barrels per Day","Labor Force Participation","Employment-Population Rate","Unemployment Rate"
1,2023,12,"AK","Preliminary",128528.33,565941.26,357119,22.71,2023-12-01,118.1,13295,65.3,62.3,4.6
2,2023,12,"AL","Preliminary",784137.44,6997082,2757183,11.21,2023-12-01,118.1,13295,57.4,55.8,2.8
3,2023,12,"AR","Preliminary",363762.9,3939326.4,1716362,9.23,2023-12-01,118.1,13295,57.5,55.4,3.7
4,2023,12,"AZ","Preliminary",709440.46,5938688.3,3421250,11.95,2023-12-01,118.1,13295,62.2,59.6,4.2
5,2023,12,"CA","Preliminary",4484754.3,18560066,15989356,24.16,2023-12-01,118.1,13295,62.1,58.9,5.1
6,2023,12,"CO","Preliminary",541601.67,4769467.6,2881151,11.36,2023-12-01,118.1,13295,68.3,66,3.3
7,2023,12,"CT","Preliminary",524227.3,2278379.4,1704435,23.01,2023-12-01,118.1,13295,64.3,61.6,4.2
8,2023,12,"DC","Preliminary",133590.83,770669.1,342952,17.33,2023-12-01,118.1,13295,72,68.4,4.9
9,2023,12,"DE","Preliminary",122340.39,906936.63,526632,13.49,2023-12-01,118.1,13295,60.8,58.3,4.1
10,2023,12,"FL","Preliminary",2376283.8,17740904,11589206,13.39,2023-12-01,118.1,13295,59.5,57.6,3.1
11,2023,12,"GA","Preliminary",1239203.9,11440204,5403105,10.83,2023-12-01,118.1,13295,61.5,59.5,3.2
12,2023,12,"HI","Preliminary",288620.81,748424.86,506849,38.56,2023-12-01,118.1,13295,60.1,58.3,3
13,2023,12,"IA","Preliminary",397674.1,4704239.4,1717840,8.45,2023-12-01,118.1,13295,67.5,65.4,3
14,2023,12,"ID","Preliminary",202169.48,2127381.8,1004158,9.5,2023-12-01,118.1,13295,62.7,60.6,3.3
15,2023,12,"IL","Preliminary",1231786.7,10793132,6052801,11.41,2023-12-01,118.1,13295,64.5,61.5,4.7
16,2023,12,"IN","Preliminary",880664.24,7778886.2,3374847,11.32,2023-12-01,118.1,13295,63.2,61,3.5
17,2023,12,"KS","Preliminary",330568.88,3156306.4,1607420,10.47,2023-12-01,118.1,13295,66.3,64.5,2.6
18,2023,12,"KY","Preliminary",582759.64,5841350.7,2358556,9.98,2023-12-01,118.1,13295,56.9,54.5,4.3
19,2023,12,"LA","Preliminary",607622.33,7141039.2,2494974,8.51,2023-12-01,118.1,13295,58.6,56.3,4
20,2023,12,"MA","Preliminary",918240.85,3980600,3341718,23.07,2023-12-01,118.1,13295,64.9,62.8,3.2
21,2023,12,"MD","Preliminary",736068.4,4910120.9,2709618,14.99,2023-12-01,118.1,13295,65.1,63.7,2.2
22,2023,12,"ME","Preliminary",200531.26,898480.18,851216,22.32,2023-12-01,118.1,13295,59.3,57.3,3.4
23,2023,12,"MI","Preliminary",1105404.4,8036959.9,5083946,13.75,2023-12-01,118.1,13295,62.3,59.7,4.1
24,2023,12,"MN","Preliminary",645679.1,5649225.1,2899680,11.43,2023-12-01,118.1,13295,68,66.2,2.7
25,2023,12,"MO","Preliminary",629188.8,6285264.8,3244795,10.01,2023-12-01,118.1,13295,63.1,61.1,3.3
26,2023,12,"MS","Preliminary",410911.14,3911134.7,1617814,10.51,2023-12-01,118.1,13295,53.8,52.1,3.2
27,2023,12,"MT","Preliminary",156306.02,1434815.8,682399,10.89,2023-12-01,118.1,13295,63,60.9,3.3
28,2023,12,"NC","Preliminary",1283697.7,11134853,5769882,11.53,2023-12-01,118.1,13295,60.7,58.6,3.6
29,2023,12,"ND","Preliminary",203587.24,2710080.3,483256,7.51,2023-12-01,118.1,13295,69,67.7,1.9
30,2023,12,"NE","Preliminary",248695.47,2789692.8,1133329,8.91,2023-12-01,118.1,13295,68.9,67.2,2.5
31,2023,12,"NH","Preliminary",194479.63,900479.93,762298,21.6,2023-12-01,118.1,13295,65.1,63.4,2.6
32,2023,12,"NJ","Preliminary",855852.55,5641387.1,4274005,15.17,2023-12-01,118.1,13295,64.8,61.7,4.8
33,2023,12,"NM","Preliminary",213488.65,2361490.1,1070744,9.04,2023-12-01,118.1,13295,57.3,55,4
34,2023,12,"NV","Preliminary",324091.97,2838755.9,1473831,11.42,2023-12-01,118.1,13295,62.8,59.5,5.3
35,2023,12,"NY","Preliminary",2048942.4,11520237,8576062,17.79,2023-12-01,118.1,13295,61.5,58.7,4.6
36,2023,12,"OH","Preliminary",1378089.6,12334265,5740516,11.17,2023-12-01,118.1,13295,61.8,59.5,3.6
37,2023,12,"OK","Preliminary",463721.34,5475879.3,2201069,8.47,2023-12-01,118.1,13295,63.1,60.9,3.5
38,2023,12,"OR","Preliminary",493314.89,4827779.2,2134887,10.22,2023-12-01,118.1,13295,62.4,60,4
39,2023,12,"PA","Preliminary",1511061.1,12039820,6270612,12.55,2023-12-01,118.1,13295,62.3,60.2,3.4
40,2023,12,"RI","Preliminary",138282.03,563953.77,487183,24.52,2023-12-01,118.1,13295,63.7,61.5,3.4
41,2023,12,"SC","Preliminary",733882.69,7048185,2952063,10.41,2023-12-01,118.1,13295,57.2,55.5,3
42,2023,12,"SD","Preliminary",115851.07,1143689.5,514813,10.13,2023-12-01,118.1,13295,67.9,66.5,2.1
43,2023,12,"TN","Preliminary",850094.42,7954598.4,3581261,10.69,2023-12-01,118.1,13295,59.5,57.5,3.4
44,2023,12,"TX","Preliminary",3337284.5,35177821,14064725,9.49,2023-12-01,118.1,13295,64.2,61.7,3.9
45,2023,12,"UT","Preliminary",236645.39,2777771.3,1364543,8.52,2023-12-01,118.1,13295,69.4,67.5,2.8
46,2023,12,"VA","Preliminary",1202287.9,11359840,4111450,10.58,2023-12-01,118.1,13295,66.5,64.5,3
47,2023,12,"VT","Preliminary",86858.82,478027.74,382587,18.17,2023-12-01,118.1,13295,65,63.5,2.3
48,2023,12,"WA","Preliminary",803452.23,8284573.1,3765268,9.7,2023-12-01,118.1,13295,64.3,61.4,4.4
