"","STATE","YEAR","MONTH","coal_gen","hydro_gen","gas_gen","other_gen","petro_gen","solar_gen","biomass_gen","wind_gen","nuclear_gen","other_gas_gen","pump_gen"
"1","AK",2018,1,49588,150884,295051,-253,84529,0,4165,14888,0,0,0
"2","AK",2018,2,45473,149519,261416,-202,71471,0,3946,13255,0,0,0
"3","AK",2018,3,49865,151959,277051,-253,65333,0,4199,15414,0,0,0
"4","AK",2018,4,39354,160367,212247,-236,62073,0,4178,15324,0,0,0
"5","AK",2018,5,35094,179628,245249,-252,62609,0,3961,13659,0,0,0
"6","AK",2018,6,46097,163622,234118,-275,53261,0,4086,14323,0,0,0
"7","AK",2018,7,44985,139522,255566,-312,61756,0,3693,8944,0,0,0
"8","AK",2018,8,55930,120980,247476,-307,67893,0,3606,11272,0,0,0
"9","AK",2018,9,72694,103449,232348,-267,66150,0,3363,10183,0,0,0
"10","AK",2018,10,50387,102125,181988,-261,68472,0,3456,11757,0,0,0
"11","AK",2018,11,80406,119175,241971,-203,63174,0,3222,12518,0,0,0
"12","AK",2018,12,58691,122994,263422,-277,82556,0,3598,13477,0,0,0
"13","AK",2019,1,74487,134708,296397,-299,64492,0,2647,12288,0,0,0
"14","AK",2019,2,60422,126005,254610,-304,71365,0,3333,11247,0,0,0
"15","AK",2019,3,68678,147542,237389,-320,70449,0,3443,12592,0,0,0
"16","AK",2019,4,38059,151202,241214,-303,65390,0,3030,14079,0,0,0
"17","AK",2019,5,37744,180631,211538,-299,70026,0,3137,12420,0,0,0
"18","AK",2019,6,57009,157685,187515,-439,60057,0,1902,10679,0,0,0
"19","AK",2019,7,57725,136209,228448,-423,68244,0,3260,10503,0,0,0
"20","AK",2019,8,53740,130740,215853,-397,75781,0,3641,9495,0,0,0
"21","AK",2019,9,52280,104777,166957,-282,90449,0,3580,11637,0,0,0
"22","AK",2019,10,46485,104490,203947,-296,95730,0,3445,13193,0,0,0
"23","AK",2019,11,69223,121647,215169,-263,72768,0,3046,11973,0,0,0
"24","AK",2019,12,67203,127729,227951,-278,96445,0,3086,12485,0,0,0
"25","AK",2020,1,45764,150525,282276,-298,123712,0,3235,11230,0,0,0
"26","AK",2020,2,66904,157379,232285,-270,79548,0,3098,11511,0,0,0
"27","AK",2020,3,72671,137699,221150,-282,78021,0,3313,11532,0,0,0
"28","AK",2020,4,54682,127709,187945,-287,74956,0,3333,11476,0,0,0
"29","AK",2020,5,57252,187232,196328,-312,63304,0,3347,10902,0,0,0
"30","AK",2020,6,53231,182944,194944,-290,79939,0,3093,11558,0,0,0
"31","AK",2020,7,45320,171961,203367,-308,104847,0,3242,8520,0,0,0
"32","AK",2020,8,45073,145414,195586,-314,107293,0,3257,8640,0,0,0
"33","AK",2020,9,63094,115930,178945,-297,67631,0,3262,8727,0,0,0
"34","AK",2020,10,59504,115712,152791,-304,81330,0,3483,10735,0,0,0
"35","AK",2020,11,76687,133171,279231,-248,62994,0,3090,12333,0,0,0
"36","AK",2020,12,81607,138270,315911,-244,62227,0,3312,11370,0,0,0
"37","AK",2021,1,72164,171307,266928,-318,68802,0,3561,11452,0,0,0
"38","AK",2021,2,57295,142540,252054,-273,76407,0,3467,8718,0,0,0
"39","AK",2021,3,66939,136703,256276,-294,82650,0,3375,10865,0,0,0
"40","AK",2021,4,39541,120582,240713,-343,79438,0,2676,8629,0,0,0
"41","AK",2021,5,67625,149390,231769,-350,40934,0,2943,10191,0,0,0
"42","AK",2021,6,68549,160847,233777,-441,54954,0,2775,10531,0,0,0
"43","AK",2021,7,75716,143214,265608,-364,53690,0,2860,12405,0,0,0
"44","AK",2021,8,56974,135135,282414,-366,77778,0,2904,12568,0,0,0
"45","AK",2021,9,47629,110841,223071,-473,101449,0,2702,12877,0,0,0
"46","AK",2021,10,46508,113741,256947,-476,100550,0,3905,13006,0,0,0
"47","AK",2021,11,76878,133307,282673,-243,78229,0,3801,7390,0,0,0
"48","AK",2021,12,77077,171292,293166,-199,87606,0,3102,13580,0,0,0
"49","AK",2022,1,68431,171098,300186,-165,83941,0,3642,4509,0,0,0
"50","AK",2022,2,44871,147204,287845,-196,69264,0,3593,7495,0,0,0
"51","AK",2022,3,52924,160360,289800,-221,79941,0,3085,9005,0,0,0
"52","AK",2022,4,52790,120198,260099,-342,70942,0,3297,17114,0,0,0
"53","AK",2022,5,52251,151317,244393,-277,67046,0,3100,12485,0,0,0
"54","AK",2022,6,57442,180565,257808,-369,81519,0,3305,13033,0,0,0
"55","AK",2022,7,63590,172481,250716,-300,73974,0,3496,19559,0,0,0
"56","AK",2022,8,67653,144809,255966,-287,49615,0,3515,12017,0,0,0
"57","AK",2022,9,62331,111143,252099,-266,58156,0,3367,10351,0,0,0
"58","AK",2022,10,52758,96602,260187,-275,65572,0,3497,8580,0,0,0
"59","AK",2022,11,80560,121865,274501,-281,62303,0,3918,14914,0,0,0
"60","AK",2022,12,71334,135783,295778,-267,85253,0,3022,10213,0,0,0
"61","AK",2023,1,64129,124124,282040,-204,83884,87,3364,11642,0,0,0
"62","AK",2023,2,45254,111265,242500,-170,64083,101,3095,14566,0,0,0
"63","AK",2023,3,66789,102448,287518,-176,73778,131,3300,14354,0,0,0
"64","AK",2023,4,58919,84045,235889,-211,82013,159,3144,13335,0,0,0
"65","AK",2023,5,56906,186556,204289,-266,79653,180,2594,10307,0,0,0
"66","AK",2023,6,67053,124581,295349,-230,72559,185,2476,8395,0,0,0
"67","AK",2023,7,72741,117017,380657,-198,67097,191,3163,7371,0,0,0
"68","AK",2023,8,66245,116765,370719,-211,68796,178,3731,8592,0,0,0
"69","AK",2023,9,68280,76459,295130,-190,58921,1301,3638,8024,0,0,0
