Month,Year,State Abbrev,State,Labor Force Participation,Employment-Population Rate,Unemployment Rate 
01,2018,AL,Alabama,56.8   ,54.5   ,4.0   
01,2018,AK,Alaska,65.4   ,61.2   ,6.4   
01,2018,AZ,Arizona,60.7   ,57.8   ,4.9   
01,2018,AR,Arkansas,57.9   ,55.7   ,3.8   
01,2018,CA,California,62.1   ,59.4   ,4.4   
01,2018,CO,Colorado,68.3   ,66.3   ,2.9   
01,2018,CT,Connecticut,65.7   ,62.9   ,4.2   
01,2018,DE,Delaware,62.2   ,59.6   ,4.1   
01,2018,DC,District of Columbia,70.5   ,66.4   ,5.9   
01,2018,FL,Florida,59.2   ,56.8   ,3.9   
01,2018,GA,Georgia,63.7   ,60.9   ,4.3   
01,2018,HI,Hawaii,61.6   ,60.4   ,2.1   
01,2018,ID,Idaho,64.0   ,62.1   ,3.0   
01,2018,IL,Illinois,64.6   ,61.7   ,4.6   
01,2018,IN,Indiana,64.4   ,62.3   ,3.3   
01,2018,IA,Iowa,68.6   ,66.7   ,2.8   
01,2018,KS,Kansas,66.7   ,64.4   ,3.5   
01,2018,KY,Kentucky,58.6   ,56.1   ,4.2   
01,2018,LA,Louisiana,58.8   ,56.0   ,4.7   
01,2018,ME,Maine,63.0   ,61.0   ,3.1   
01,2018,MD,Maryland,67.7   ,64.9   ,4.1   
01,2018,MA,Massachusetts,66.4   ,63.9   ,3.7   
01,2018,MI,Michigan,61.4   ,58.7   ,4.5   
01,2018,MN,Minnesota,69.7   ,67.5   ,3.1   
01,2018,MS,Mississippi,55.5   ,52.8   ,4.9   
01,2018,MO,Missouri,63.7   ,61.4   ,3.6   
01,2018,MT,Montana,63.1   ,60.6   ,4.0   
01,2018,NE,Nebraska,69.5   ,67.5   ,2.9   
01,2018,NV,Nevada,62.9   ,60.0   ,4.7   
01,2018,NH,New Hampshire,68.3   ,66.4   ,2.7   
01,2018,NJ,New Jersey,62.9   ,60.1   ,4.4   
01,2018,NM,New Mexico,57.6   ,54.6   ,5.2   
01,2018,NY,New York,60.5   ,57.8   ,4.5   
01,2018,NC,North Carolina,61.1   ,58.6   ,4.2   
01,2018,ND,North Dakota,70.2   ,68.3   ,2.6   
01,2018,OH,Ohio,62.6   ,59.8   ,4.6   
01,2018,OK,Oklahoma,61.3   ,59.0   ,3.7   
01,2018,OR,Oregon,62.1   ,59.6   ,4.1   
01,2018,PA,Pennsylvania,62.4   ,59.4   ,4.8   
01,2018,RI,Rhode Island,64.4   ,61.6   ,4.5   
01,2018,SC,South Carolina,57.6   ,55.4   ,3.9   
01,2018,SD,South Dakota,69.2   ,67.1   ,3.0   
01,2018,TN,Tennessee,60.6   ,58.4   ,3.5   
01,2018,TX,Texas,63.8   ,61.2   ,4.1   
01,2018,UT,Utah,68.6   ,66.5   ,3.0   
01,2018,VT,Vermont,67.1   ,65.2   ,2.8   
01,2018,VA,Virginia,65.4   ,63.2   ,3.4   
01,2018,WA,Washington,63.8   ,60.8   ,4.6   
01,2018,WV,West Virginia,53.9   ,51.0   ,5.4   
01,2018,WI,Wisconsin,67.6   ,65.6   ,2.9   
01,2018,WY,Wyoming,65.6   ,62.9   ,4.2   
02,2018,AL,Alabama,56.9   ,54.6   ,4.0   
02,2018,AK,Alaska,65.4   ,61.2   ,6.3   
02,2018,AZ,Arizona,60.8   ,57.9   ,4.8   
02,2018,AR,Arkansas,57.9   ,55.7   ,3.8   
02,2018,CA,California,62.2   ,59.5   ,4.3   
02,2018,CO,Colorado,68.4   ,66.4   ,2.9   
02,2018,CT,Connecticut,65.7   ,63.0   ,4.1   
02,2018,DE,Delaware,62.2   ,59.7   ,4.0   
02,2018,DC,District of Columbia,70.6   ,66.5   ,5.8   
02,2018,FL,Florida,59.2   ,56.9   ,3.9   
02,2018,GA,Georgia,63.6   ,61.0   ,4.2   
02,2018,HI,Hawaii,61.7   ,60.4   ,2.1   
02,2018,ID,Idaho,64.0   ,62.1   ,2.9   
02,2018,IL,Illinois,64.7   ,61.8   ,4.5   
02,2018,IN,Indiana,64.6   ,62.5   ,3.3   
02,2018,IA,Iowa,68.8   ,66.9   ,2.7   
02,2018,KS,Kansas,66.7   ,64.4   ,3.4   
02,2018,KY,Kentucky,58.6   ,56.1   ,4.2   
02,2018,LA,Louisiana,58.9   ,56.1   ,4.7   
02,2018,ME,Maine,63.0   ,61.1   ,3.0   
02,2018,MD,Maryland,67.7   ,65.0   ,4.0   
02,2018,MA,Massachusetts,66.6   ,64.2   ,3.7   
02,2018,MI,Michigan,61.5   ,58.8   ,4.4   
02,2018,MN,Minnesota,69.7   ,67.6   ,3.1   
02,2018,MS,Mississippi,55.6   ,52.9   ,4.9   
02,2018,MO,Missouri,63.7   ,61.5   ,3.5   
02,2018,MT,Montana,63.1   ,60.7   ,3.9   
02,2018,NE,Nebraska,69.6   ,67.6   ,2.9   
02,2018,NV,Nevada,63.1   ,60.1   ,4.6   
02,2018,NH,New Hampshire,68.4   ,66.6   ,2.7   
02,2018,NJ,New Jersey,62.9   ,60.2   ,4.4   
02,2018,NM,New Mexico,57.7   ,54.8   ,5.1   
02,2018,NY,New York,60.5   ,57.8   ,4.4   
02,2018,NC,North Carolina,61.2   ,58.6   ,4.1   
02,2018,ND,North Dakota,70.2   ,68.3   ,2.6   
02,2018,OH,Ohio,62.7   ,59.8   ,4.6   
02,2018,OK,Oklahoma,61.3   ,59.1   ,3.6   
02,2018,OR,Oregon,62.0   ,59.5   ,4.0   
02,2018,PA,Pennsylvania,62.5   ,59.5   ,4.7   
02,2018,RI,Rhode Island,64.5   ,61.7   ,4.4   
02,2018,SC,South Carolina,57.6   ,55.5   ,3.7   
02,2018,SD,South Dakota,69.2   ,67.2   ,2.9   
02,2018,TN,Tennessee,60.7   ,58.5   ,3.5   
02,2018,TX,Texas,63.9   ,61.3   ,4.0   
02,2018,UT,Utah,68.6   ,66.5   ,3.0   
02,2018,VT,Vermont,67.1   ,65.3   ,2.7   
02,2018,VA,Virginia,65.5   ,63.3   ,3.3   
02,2018,WA,Washington,63.8   ,60.9   ,4.6   
02,2018,WV,West Virginia,54.0   ,51.1   ,5.4   
02,2018,WI,Wisconsin,67.6   ,65.6   ,2.9   
02,2018,WY,Wyoming,65.6   ,62.9   ,4.2   
03,2018,AL,Alabama,57.1   ,54.8   ,4.0   
03,2018,AK,Alaska,65.3   ,61.3   ,6.2   
03,2018,AZ,Arizona,60.9   ,58.0   ,4.8   
03,2018,AR,Arkansas,57.9   ,55.7   ,3.7   
03,2018,CA,California,62.3   ,59.6   ,4.3   
03,2018,CO,Colorado,68.5   ,66.5   ,2.9   
03,2018,CT,Connecticut,65.8   ,63.2   ,4.1   
03,2018,DE,Delaware,62.3   ,59.9   ,3.9   
03,2018,DC,District of Columbia,70.8   ,66.7   ,5.8   
03,2018,FL,Florida,59.3   ,57.0   ,3.8   
03,2018,GA,Georgia,63.6   ,61.0   ,4.1   
03,2018,HI,Hawaii,61.9   ,60.5   ,2.2   
03,2018,ID,Idaho,64.1   ,62.2   ,2.9   
03,2018,IL,Illinois,64.7   ,61.9   ,4.4   
03,2018,IN,Indiana,64.9   ,62.7   ,3.3   
03,2018,IA,Iowa,68.9   ,67.1   ,2.6   
03,2018,KS,Kansas,66.8   ,64.6   ,3.4   
03,2018,KY,Kentucky,58.7   ,56.2   ,4.2   
03,2018,LA,Louisiana,59.0   ,56.2   ,4.8   
03,2018,ME,Maine,63.1   ,61.2   ,3.0   
03,2018,MD,Maryland,67.8   ,65.1   ,4.0   
03,2018,MA,Massachusetts,66.9   ,64.4   ,3.6   
03,2018,MI,Michigan,61.6   ,58.9   ,4.3   
03,2018,MN,Minnesota,69.7   ,67.6   ,3.0   
03,2018,MS,Mississippi,55.7   ,53.0   ,4.9   
03,2018,MO,Missouri,63.8   ,61.6   ,3.4   
03,2018,MT,Montana,63.2   ,60.8   ,3.8   
03,2018,NE,Nebraska,69.7   ,67.7   ,2.9   
03,2018,NV,Nevada,63.2   ,60.3   ,4.6   
03,2018,NH,New Hampshire,68.6   ,66.8   ,2.7   
03,2018,NJ,New Jersey,63.0   ,60.3   ,4.3   
03,2018,NM,New Mexico,57.7   ,54.9   ,4.9   
03,2018,NY,New York,60.6   ,58.0   ,4.3   
03,2018,NC,North Carolina,61.2   ,58.7   ,4.0   
