"","Date","Value","Anomaly","State"
"1",201001,1.5,-0.7,"AK"
"2",201002,10.8,6,"AK"
"3",201003,9.8,-1,"AK"
"4",201004,26.9,3.6,"AK"
"5",201005,41.3,3.5,"AK"
"6",201006,49.5,0.3,"AK"
"7",201007,52.1,-0.6,"AK"
"8",201008,51.5,2,"AK"
"9",201009,42.8,2.2,"AK"
"10",201010,27.6,2.1,"AK"
"11",201011,17.7,6,"AK"
"12",201012,-2.4,-6.1,"AK"
"13",201101,7,4.8,"AK"
"14",201102,6,1.2,"AK"
"15",201103,11.9,1.1,"AK"
"16",201104,23.2,-0.1,"AK"
"17",201105,40.5,2.7,"AK"
"18",201106,49.8,0.6,"AK"
"19",201107,52.1,-0.6,"AK"
"20",201108,49,-0.5,"AK"
"21",201109,42.4,1.8,"AK"
"22",201110,28.5,3,"AK"
"23",201111,3.6,-8.1,"AK"
"24",201112,9.4,5.7,"AK"
"25",201201,-12.8,-15,"AK"
"26",201202,12.1,7.3,"AK"
"27",201203,4.3,-6.5,"AK"
"28",201204,27.3,4,"AK"
"29",201205,37.2,-0.6,"AK"
"30",201206,50.4,1.2,"AK"
"31",201207,52,-0.7,"AK"
"32",201208,49.9,0.4,"AK"
"33",201209,40.6,0,"AK"
"34",201210,25.5,0,"AK"
"35",201211,6,-5.7,"AK"
"36",201212,-0.8,-4.5,"AK"
"37",201301,9.8,7.6,"AK"
"38",201302,6.3,1.5,"AK"
"39",201303,11,0.2,"AK"
"40",201304,16.7,-6.6,"AK"
"41",201305,35.2,-2.6,"AK"
"42",201306,53.9,4.7,"AK"
"43",201307,55,2.3,"AK"
"44",201308,51.4,1.9,"AK"
"45",201309,39.6,-1,"AK"
"46",201310,34,8.5,"AK"
"47",201311,13.7,2,"AK"
"48",201312,7,3.3,"AK"
"49",201401,18.4,16.2,"AK"
"50",201402,6.7,1.9,"AK"
"51",201403,14.1,3.3,"AK"
"52",201404,27.4,4.1,"AK"
"53",201405,41.9,4.1,"AK"
"54",201406,48.1,-1.1,"AK"
"55",201407,52.7,0,"AK"
"56",201408,52,2.5,"AK"
"57",201409,42.3,1.7,"AK"
"58",201410,25.8,0.3,"AK"
"59",201411,19.6,7.9,"AK"
"60",201412,15,11.3,"AK"
"61",201501,7.1,4.9,"AK"
"62",201502,12.6,7.8,"AK"
"63",201503,15.9,5.1,"AK"
"64",201504,28.2,4.9,"AK"
"65",201505,44.8,7,"AK"
"66",201506,52.3,3.1,"AK"
"67",201507,54.2,1.5,"AK"
"68",201508,49.3,-0.2,"AK"
"69",201509,38.9,-1.7,"AK"
"70",201510,31.6,6.1,"AK"
"71",201511,17.2,5.5,"AK"
"72",201512,8.3,4.6,"AK"
"73",201601,17.2,15,"AK"
"74",201602,17.3,12.5,"AK"
"75",201603,18.7,7.9,"AK"
"76",201604,33.3,10,"AK"
"77",201605,44,6.2,"AK"
"78",201606,51.8,2.6,"AK"
"79",201607,55.6,2.9,"AK"
"80",201608,53.2,3.7,"AK"
"81",201609,42.3,1.7,"AK"
"82",201610,29.7,4.2,"AK"
"83",201611,13.3,1.6,"AK"
"84",201612,6.2,2.5,"AK"
"85",201701,4.5,2.3,"AK"
"86",201702,6.6,1.8,"AK"
"87",201703,4.9,-5.9,"AK"
"88",201704,29.6,6.3,"AK"
"89",201705,40.8,3,"AK"
"90",201706,51.4,2.2,"AK"
"91",201707,56.2,3.5,"AK"
"92",201708,50.2,0.7,"AK"
"93",201709,42.6,2,"AK"
"94",201710,30.2,4.7,"AK"
"95",201711,15.8,4.1,"AK"
"96",201712,19.1,15.4,"AK"
"97",201801,6.7,4.5,"AK"
"98",201802,12.6,7.8,"AK"
"99",201803,18,7.2,"AK"
"100",201804,26.8,3.5,"AK"
"101",201805,39.4,1.6,"AK"
"102",201806,50,0.8,"AK"
"103",201807,55.6,2.9,"AK"
"104",201808,49.6,0.1,"AK"
"105",201809,44.3,3.7,"AK"
"106",201810,33.8,8.3,"AK"
"107",201811,19.1,7.4,"AK"
"108",201812,9.1,5.4,"AK"
"109",201901,7.5,5.3,"AK"
"110",201902,15.5,10.7,"AK"
"111",201903,26.5,15.7,"AK"
"112",201904,28.5,5.2,"AK"
"113",201905,43,5.2,"AK"
"114",201906,54,4.8,"AK"
"115",201907,58.1,5.4,"AK"
"116",201908,51.5,2,"AK"
"117",201909,44.4,3.8,"AK"
"118",201910,30.8,5.3,"AK"
"119",201911,19.8,8.1,"AK"
"120",201912,6.7,3,"AK"
"121",202001,-6.4,-8.6,"AK"
"122",202002,1.5,-3.3,"AK"
"123",202003,12,1.2,"AK"
"124",202004,27.5,4.2,"AK"
"125",202005,43.3,5.5,"AK"
"126",202006,50.5,1.3,"AK"
"127",202007,53.2,0.5,"AK"
"128",202008,52.1,2.6,"AK"
"129",202009,42,1.4,"AK"
"130",202010,28.9,3.4,"AK"
"131",202011,14.5,2.8,"AK"
"132",202012,10.6,6.9,"AK"
"133",202101,10.6,8.4,"AK"
"134",202102,1,-3.8,"AK"
"135",202103,9.1,-1.7,"AK"
"136",202104,23.9,0.6,"AK"
"137",202105,40.3,2.5,"AK"
"138",202106,50.9,1.7,"AK"
"139",202107,53.9,1.2,"AK"
"140",202108,49.4,-0.1,"AK"
"141",202109,39.4,-1.2,"AK"
"142",202110,27.9,2.4,"AK"
"143",202111,4.6,-7.1,"AK"
"144",202112,6.8,3.1,"AK"
"145",202201,2.6,0.4,"AK"
"146",202202,8.2,3.4,"AK"
"147",202203,16.7,5.9,"AK"
"148",202204,24.9,1.6,"AK"
"149",202205,40.1,2.3,"AK"
"150",202206,52.7,3.5,"AK"
"151",202207,53.3,0.6,"AK"
"152",202208,50.1,0.6,"AK"
"153",202209,42.7,2.1,"AK"
"154",202210,28.8,3.3,"AK"
"155",202211,16.3,4.6,"AK"
"156",202212,7.1,3.4,"AK"
"157",202301,11,8.8,"AK"
"158",202302,6,1.2,"AK"
"159",202303,13.5,2.7,"AK"
"160",202304,16.7,-6.6,"AK"
"161",202305,39.8,2,"AK"
"162",202306,49.9,0.7,"AK"
"163",202307,56.1,3.4,"AK"
"164",202308,53.3,3.8,"AK"
"165",202309,40.8,0.2,"AK"
"166",202310,27.8,2.3,"AK"
"167",202311,20.4,8.7,"AK"
"168",202312,5.9,2.2,"AK"
"169",202401,3,0.8,"AK"
"170",202402,10.3,5.5,"AK"
"171",189502,37.4,-10.6,"AL"
"172",189602,47.7,-0.3,"AL"
"173",189702,51.1,3.1,"AL"
"174",189802,46.1,-1.9,"AL"
"175",189902,40,-8,"AL"
