Kentucky December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,29.8,-3.8
201002,30.6,-5.9
201003,46.5,1.1
201004,59.9,4.7
201005,67.3,2.9
201006,77.0,4.4
201007,78.4,2.1
201008,78.3,3.5
201009,70.0,1.4
201010,58.2,1.2
201011,47.1,1.8
201012,29.0,-7.2
201101,30.2,-3.4
201102,39.1,2.6
201103,47.9,2.5
201104,58.8,3.6
201105,64.2,-0.2
201106,74.2,1.6
201107,79.5,3.2
201108,75.8,1.0
201109,66.9,-1.7
201110,55.6,-1.4
201111,49.9,4.6
201112,41.0,4.8
201201,38.7,5.1
201202,41.2,4.7
201203,58.0,12.6
201204,57.3,2.1
201205,69.4,5.0
201206,72.5,-0.1
201207,80.5,4.2
201208,74.6,-0.2
201209,67.3,-1.3
201210,55.2,-1.8
201211,43.2,-2.1
201212,43.0,6.8
201301,36.7,3.1
201302,36.8,0.3
201303,39.4,-6.0
201304,55.2,0.0
201305,64.9,0.5
201306,72.9,0.3
201307,74.0,-2.3
201308,73.7,-1.1
201309,69.1,0.5
201310,57.6,0.6
201311,42.8,-2.5
201312,37.4,1.2
201401,26.8,-6.8
201402,33.2,-3.3
201403,41.5,-3.9
201404,57.4,2.2
201405,66.1,1.7
201406,74.1,1.5
201407,72.6,-3.7
201408,75.1,0.3
201409,68.2,-0.4
201410,57.6,0.6
201411,39.8,-5.5
201412,39.7,3.5
201501,32.2,-1.4
201502,26.3,-10.2
201503,44.5,-0.9
201504,57.4,2.2
201505,67.3,2.9
201506,74.2,1.6
201507,76.5,0.2
201508,72.8,-2.0
201509,70.2,1.6
201510,57.8,0.8
201511,50.9,5.6
201512,48.7,12.5
201601,31.6,-2.0
201602,38.9,2.4
201603,51.8,6.4
201604,57.3,2.1
201605,62.9,-1.5
201606,74.9,2.3
201607,77.9,1.6
201608,78.0,3.2
201609,72.2,3.6
201610,62.7,5.7
201611,49.9,4.6
201612,37.0,0.8
201701,40.9,7.3
201702,46.2,9.7
201703,47.9,2.5
201704,61.5,6.3
201705,65.0,0.6
201706,71.7,-0.9
201707,76.9,0.6
201708,73.1,-1.7
201709,68.3,-0.3
201710,59.4,2.4
201711,47.1,1.8
201712,35.8,-0.4
201801,30.0,-3.6
201802,44.6,8.1
201803,44.1,-1.3
201804,50.7,-4.5
201805,71.8,7.4
201806,75.5,2.9
201807,76.6,0.3
201808,75.8,1.0
201809,73.1,4.5
201810,58.9,1.9
201811,41.9,-3.4
201812,40.5,4.3
201901,35.1,1.5
201902,42.3,5.8
201903,43.1,-2.3
201904,57.8,2.6
201905,68.4,4.0
201906,71.9,-0.7
201907,77.4,1.1
201908,75.6,0.8
201909,74.8,6.2
201910,60.0,3.0
201911,41.2,-4.1
201912,42.1,5.9
202001,40.2,6.6
202002,39.7,3.2
202003,51.4,6.0
202004,52.8,-2.4
202005,62.2,-2.2
202006,72.6,0.0
202007,78.7,2.4
202008,74.8,0.0
202009,68.3,-0.3
202010,57.8,0.8
202011,49.9,4.6
202012,37.3,1.1
202101,35.7,2.1
202102,32.3,-4.2
202103,50.4,5.0
202104,54.6,-0.6
202105,62.4,-2.0
202106,73.4,0.8
202107,75.9,-0.4
202108,76.6,1.8
202109,68.9,0.3
202110,62.4,5.4
202111,43.4,-1.9
202112,47.6,11.4
202201,31.3,-2.3
202202,38.4,1.9
202203,49.1,3.7
202204,54.4,-0.8
202205,67.5,3.1
202206,74.0,1.4
202207,78.2,1.9
202208,75.3,0.5
202209,68.1,-0.5
202210,55.0,-2.0
202211,46.8,1.5
202212,37.8,1.6
202301,42.4,8.8
202302,45.7,9.2
202303,47.2,1.8
202304,56.7,1.5
202305,64.1,-0.3
202306,70.3,-2.3
202307,76.7,0.4
202308,74.7,-0.1
202309,69.6,1.0
202310,59.3,2.3
202311,47.4,2.1
202312,42.6,6.4
202401,32.9,-0.7
202402,45.0,8.5
